frame,xL,yL,xR,yR
1,-1,-1,-1,-1
2,-1,-1,-1,-1
3,-1,-1,-1,-1
4,-1,-1,-1,-1
5,-1,-1,-1,-1
6,-1,-1,-1,-1
7,-1,-1,-1,-1
8,-1,-1,-1,-1
9,-1,-1,-1,-1
10,-1,-1,-1,-1
11,-1,-1,-1,-1
12,-1,-1,-1,-1
13,-1,-1,-1,-1
14,-1,-1,-1,-1
15,-1,-1,-1,-1
16,-1,-1,-1,-1
17,-1,-1,-1,-1
18,-1,-1,-1,-1
19,-1,-1,-1,-1
20,-1,-1,-1,-1
21,-1,-1,-1,-1
22,-1,-1,-1,-1
23,-1,-1,-1,-1
24,-1,-1,-1,-1
25,-1,-1,-1,-1
26,-1,-1,-1,-1
27,-1,-1,-1,-1
28,-1,-1,-1,-1
29,-1,-1,-1,-1
30,-1,-1,-1,-1
31,-1,-1,-1,-1
32,-1,-1,-1,-1
33,-1,-1,-1,-1
34,-1,-1,-1,-1
35,-1,-1,-1,-1
36,-1,-1,-1,-1
37,-1,-1,-1,-1
38,-1,-1,-1,-1
39,-1,-1,-1,-1
40,-1,-1,-1,-1
41,-1,-1,-1,-1
42,-1,-1,-1,-1
43,-1,-1,-1,-1
44,-1,-1,-1,-1
45,-1,-1,-1,-1
46,-1,-1,-1,-1
47,-1,-1,-1,-1
48,-1,-1,-1,-1
49,-1,-1,-1,-1
50,-1,-1,-1,-1
51,-1,-1,-1,-1
52,-1,-1,-1,-1
53,-1,-1,1850,23
54,-1,-1,1818,49
55,-1,-1,1781,107
56,1886,189,1743,171
57,1872,246,1706,240
58,1853,315,1670,312
59,1820,391,1632,389
60,1782,475,1597,472
61,1759,458,1573,459
62,1746,387,1559,386
63,1733,322,1545,320
64,1718,265,1530,262
65,1705,215,1516,215
66,1690,172,1498,171
67,1673,137,1482,135
68,1656,107,1466,106
69,1640,86,1449,84
70,1623,70,1432,68
71,1605,61,1414,59
72,1587,58,1397,56
73,1569,62,1379,60
74,1549,74,1360,70
75,1531,93,1341,89
76,1511,116,1322,114
77,1492,145,1304,143
78,1473,178,1286,175
79,1452,218,1267,217
80,1432,266,1247,265
81,1413,318,1228,317
82,1394,374,1211,373
83,1375,436,1195,435
84,1358,504,1178,506
85,1346,431,1165,432
86,1333,380,1151,382
87,1320,335,1138,336
88,1307,297,1124,296
89,1291,261,1109,261
90,1277,233,1094,233
91,1263,211,1079,211
92,1247,196,1063,197
93,1231,189,1047,188
94,1214,188,1031,187
95,1197,194,1014,193
96,1181,207,999,206
97,1164,228,983,226
98,1148,254,967,253
99,1132,287,952,286
100,1116,328,937,327
101,1100,372,923,371
102,1085,423,909,423
103,1069,498,895,499
104,1056,446,882,447
105,1043,399,868,403
106,1030,363,854,364
107,1015,332,840,333
108,1002,308,826,308
109,988,290,813,290
110,975,279,799,279
111,961,275,786,274
112,947,277,773,277
113,934,286,760,285
114,920,300,749,300
115,907,322,736,321
116,895,350,725,348
117,882,382,713,382
118,870,420,702,419
119,859,466,692,464
120,847,448,680,448
121,835,411,669,412
122,824,383,657,383
123,812,360,646,361
124,801,344,635,343
125,790,332,624,332
126,779,327,614,327
127,768,328,603,328
128,757,335,593,335
129,745,349,582,349
130,735,371,573,369
131,726,398,564,396
132,717,431,557,429
133,710,479,551,479
134,703,436,544,437
135,696,408,537,409
136,690,388,532,387
137,685,372,526,372
138,680,364,522,363
139,675,361,518,361
140,671,363,514,362
141,667,371,510,370
142,663,385,508,384
143,660,405,506,404
144,658,429,505,428
145,658,470,506,470
146,654,433,502,433
147,651,412,500,412
148,648,397,497,398
149,647,389,495,389
150,645,387,494,386
151,644,390,494,388
152,643,398,493,397
153,643,410,494,411
154,644,431,496,430
155,644,462,498,464
156,645,426,498,426
157,646,412,500,411
158,648,402,501,402
159,650,397,504,396
160,653,399,508,397
161,657,404,513,403
162,661,417,518,415
163,668,450,525,449
164,673,453,532,452
165,682,505,534,418
166,681,409,540,409
167,686,404,546,405
168,693,406,553,405
169,700,411,561,410
170,708,420,570,420
171,715,448,578,447
172,722,450,584,451
173,729,442,591,447
174,739,502,601,502
175,744,421,610,503
176,753,442,614,444
177,761,449,622,449
178,769,453,631,455
179,777,446,638,446
180,786,441,645,441
181,794,441,655,442
182,803,446,663,446
183,811,451,673,453
184,821,454,680,454
185,828,448,689,447
186,837,445,697,447
187,845,448,706,449
188,854,454,714,453
189,863,454,722,451
190,871,450,731,448
191,880,451,740,450
192,888,454,749,454
193,896,453,758,454
194,906,452,766,450
195,914,454,775,451
196,922,456,783,455
197,933,454,792,452
198,942,455,802,451
199,950,456,811,455
200,959,455,821,453
201,969,455,830,454
202,976,452,839,457
203,986,455,847,453
204,995,456,856,456
205,1003,455,866,457
206,1011,455,873,454
207,1020,455,881,455
208,1028,455,889,454
209,1036,454,898,455
210,1044,454,906,454
211,1050,454,912,452
212,1058,454,920,455
213,1065,454,927,455
214,1072,455,933,454
215,1079,454,941,455
216,1086,454,948,455
217,1094,455,956,455
218,1100,455,962,455
219,1107,454,969,454
220,1114,454,975,454
221,1121,455,983,453
222,1128,456,990,453
223,1135,454,996,453
224,1142,452,1004,455
225,1148,453,1010,452
226,1155,454,1018,454
227,1162,454,1023,458
228,1168,452,1030,455
229,1175,454,1036,456
230,1181,457,1042,455
231,1187,455,1048,454
232,1192,455,1054,455
233,1199,455,1060,455
234,1204,455,1066,455
235,1210,455,1071,455
236,1216,452,1076,454
237,1220,455,1082,454
238,1225,455,1087,454
239,1230,455,1092,455
240,1235,457,1097,454
241,1240,455,1102,456
242,1245,453,1106,456
243,1250,455,1111,454
244,1254,455,1115,457
245,1258,455,1121,454
246,1263,454,1124,455
247,1267,455,1129,455
248,1272,455,1133,456
249,1277,455,1138,457
250,1282,453,1142,455
251,1286,453,1148,457
252,1291,455,1152,455
253,1296,456,1156,454
254,1300,454,1161,456
255,1305,454,1165,454
256,1310,454,1170,454
257,1314,454,1175,452
258,1319,456,1180,455
259,1323,455,1184,455
260,1327,453,1189,453
261,1332,454,1194,456
262,1336,456,1197,455
263,1341,455,1202,457
264,1345,454,1206,455
265,1348,455,1210,453
266,1353,455,1213,455
267,1356,455,1217,454
268,1360,455,1220,457
269,1363,454,1224,452
270,1366,455,1227,457
271,1369,454,1230,454
272,1372,455,1233,457
273,1375,454,1236,454
274,1378,454,1239,455
275,1380,454,1241,454
276,1383,454,1244,455
277,1385,454,1246,457
278,1388,455,1250,457
279,1390,455,1251,454
280,1392,455,1253,455
281,1394,455,1255,455
282,1396,454,1257,455
283,1398,455,1259,455
284,1399,455,1261,457
285,1401,456,1261,456
286,1402,455,1263,456
287,1404,456,1266,457
288,1405,455,1266,456
289,1406,456,1267,458
290,1406,455,1267,457
291,1407,457,1267,455
292,1407,456,1268,456
293,1406,456,1267,454
294,1407,456,1267,456
295,1406,456,1267,456
296,1405,457,1266,457
297,1404,456,1266,457
298,1404,457,1264,457
299,1403,456,1263,457
300,1402,457,1262,459
301,1400,458,1260,457
302,1399,456,1259,456
303,1397,457,1258,457
304,1395,457,1256,457
305,1394,457,1254,457
306,1392,456,1252,457
307,1390,459,1250,458
308,1389,456,1248,458
309,1387,457,1245,457
310,1385,457,1244,456
311,1382,458,1241,458
312,1380,457,1239,459
313,1377,457,1236,456
314,1375,459,1233,459
315,1372,457,1230,459
316,1370,459,1227,460
317,1366,459,1226,459
318,1363,459,1222,459
319,1360,458,1219,464
320,1357,458,1215,459
321,1353,459,1211,459
322,1351,460,1209,459
323,1347,460,1204,459
324,1343,460,1201,461
325,1340,461,1197,460
326,1337,460,1194,462
327,1333,461,1189,460
328,1329,462,1186,462
329,1326,459,1181,460
330,1322,460,1178,462
331,1318,461,1174,464
332,1315,463,1170,463
333,1310,462,1166,462
334,1307,461,1163,463
335,1303,463,1159,464
336,1300,463,1155,464
337,1296,464,1151,464
338,1292,467,1146,465
339,1288,465,1143,466
340,1285,464,1139,466
341,1282,465,1136,468
342,1278,464,1132,465
343,1275,464,1128,464
344,1271,465,1125,466
345,1268,466,1121,467
346,1266,466,1118,465
347,1262,465,1116,468
348,1260,465,1112,467
349,1257,466,1108,466
350,1254,466,1106,466
351,1251,465,1103,468
352,1249,467,1100,468
353,1247,469,1097,469
354,1244,467,1095,470
355,1242,471,1092,469
356,1240,471,1090,470
357,1237,469,1087,470
358,1235,471,1084,470
359,1233,470,1082,471
360,1231,470,1080,471
361,1229,471,1077,473
362,1227,471,1075,473
363,1225,473,1073,471
364,1223,476,1070,473
365,1221,472,1068,473
366,1219,475,1066,473
367,1217,474,1064,475
368,1215,475,1062,474
369,1213,474,1059,476
370,1211,475,1057,476
371,1210,475,1055,476
372,1208,477,1053,477
373,1206,478,1051,477
374,1205,477,1049,477
375,1203,477,1047,479
376,1201,478,1045,478
377,1199,478,1043,478
378,1198,479,1041,479
379,1196,481,1039,480
380,1194,480,1037,481
381,1193,481,1034,482
382,1191,484,1033,484
383,1190,483,1031,483
384,1188,484,1029,483
385,1187,483,1028,486
386,1185,485,1026,486
387,1185,486,1024,485
388,1183,486,1022,486
389,1182,486,1021,486
390,1181,487,1019,486
391,1180,488,1018,490
392,1180,487,1017,489
393,1179,488,1015,490
394,1178,488,1015,489
395,1178,488,1014,488
396,1177,489,1013,490
397,1177,489,1012,488
398,1177,490,1012,492
399,1176,490,1011,493
400,1176,491,1010,493
401,1176,493,1010,491
402,1176,493,1009,493
403,1176,491,1009,494
404,1176,492,1008,495
405,1176,494,1008,496
406,1176,495,1008,495
407,1176,495,1008,496
408,1177,495,1008,497
409,1177,495,1008,497
410,1177,496,1008,497
411,1178,497,1007,498
412,1177,496,1008,500
413,1178,499,1008,499
414,1179,498,1008,500
415,1179,499,1009,501
416,1180,500,1009,501
417,1180,500,1009,500
418,1182,500,1010,500
419,1182,501,1011,501
420,1183,502,1011,501
421,1184,503,1012,503
422,1185,502,1012,503
423,1186,503,1013,504
424,1187,502,1014,503
425,1188,503,1015,505
426,1188,504,1015,506
427,1190,503,1016,505
428,1191,503,1016,506
429,1192,504,1017,506
430,1193,503,1018,507
431,1194,505,1019,506
432,1195,505,1020,507
433,1196,506,1020,507
434,1198,506,1022,506
435,1199,507,1022,509
436,1201,506,1024,509
437,1202,508,1025,509
438,1203,507,1026,510
439,1206,508,1027,512
440,1207,511,1029,511
441,1209,511,1030,510
442,1210,511,1032,511
443,1211,511,1033,511
444,1214,511,1034,512
445,1215,512,1036,512
446,1217,512,1037,513
447,1219,512,1039,513
448,1221,511,1041,512
449,1223,514,1042,514
450,1225,515,1044,515
451,1227,514,1046,517
452,1229,515,1048,517
453,1232,514,1049,517
454,1234,514,1051,517
455,1236,515,1053,517
456,1238,515,1055,519
457,1240,517,1057,520
458,1243,515,1059,520
459,1245,519,1061,520
460,1247,519,1063,519
461,1249,519,1065,520
462,1251,519,1067,520
463,1253,520,1068,520
464,1255,520,1070,523
465,1258,518,1073,521
466,1260,519,1074,521
467,1262,519,1076,523
468,1263,520,1078,521
469,1265,519,1080,523
470,1267,520,1081,521
471,1268,522,1082,522
472,1270,520,1084,523
473,1272,520,1084,523
474,1273,521,1087,523
475,1274,521,1088,522
476,1276,520,1089,524
477,1277,522,1091,522
478,1278,521,1091,522
479,1279,520,1092,523
480,1279,520,1093,522
481,1281,520,1095,522
482,1282,524,1095,522
483,1282,520,1097,523
484,1283,520,1097,522
485,1283,520,1097,523
486,1284,519,1098,522
487,1285,522,1099,522
488,1285,520,1099,522
489,1286,520,1100,521
490,1286,523,1100,523
491,1287,519,1100,523
492,1287,521,1102,521
493,1288,519,1102,523
494,1289,519,1103,523
495,1289,520,1104,520
496,1290,521,1105,522
497,1291,519,1106,520
498,1292,518,1107,521
499,1293,519,1107,521
500,1294,519,1110,520
501,1295,518,1110,521
502,1297,518,1112,520
503,1297,520,1113,518
504,1299,518,1115,519
505,1301,519,1116,519
506,1303,517,1119,520
507,1306,518,1122,520
508,1308,518,1124,519
509,1310,519,1127,520
510,1314,517,1130,518
511,1317,517,1133,519
512,1322,517,1137,518
513,1326,516,1141,519
514,1330,518,1146,518
515,1335,517,1150,519
516,1340,518,1155,519
517,1345,518,1160,518
518,1349,517,1165,519
519,1355,518,1169,520
520,1360,518,1176,519
521,1364,518,1180,520
522,1369,517,1185,518
523,1374,518,1189,519
524,1379,516,1194,520
525,1383,518,1198,520
526,1388,518,1204,518
527,1392,517,1209,517
528,1396,517,1212,520
529,1401,518,1218,519
530,1406,516,1221,518
531,1410,517,1226,518
532,1414,516,1230,518
533,1419,516,1234,519
534,1423,518,1239,518
535,1427,519,1244,518
536,1432,517,1248,518
537,1437,517,1253,517
538,1442,517,1257,519
539,1446,517,1262,517
540,1451,517,1267,517
541,1456,518,1273,517
542,1461,518,1277,518
543,1466,516,1281,517
544,1470,517,1286,519
545,1475,517,1291,518
546,1480,517,1296,516
547,1485,516,1300,518
548,1490,516,1306,518
549,1494,515,1311,517
550,1499,516,1316,517
551,1504,516,1319,518
552,1508,517,1324,518
553,1513,516,1330,516
554,1517,517,1334,516
555,1523,515,1340,515
556,1527,516,1345,517
557,1532,515,1348,516
558,1535,516,1352,517
559,1540,515,1358,515
560,1545,514,1363,514
561,1549,512,1366,516
562,1553,513,1370,514
563,1556,512,1374,515
564,1560,512,1378,514
565,1563,513,1382,515
566,1566,513,1385,515
567,1570,511,1388,514
568,1573,512,1391,514
569,1575,513,1394,514
570,1578,511,1396,516
571,1580,510,1400,513
572,1581,510,1401,513
573,1583,512,1402,513
574,1584,512,1405,513
575,1586,510,1405,512
576,1586,511,1406,511
577,1587,511,1408,513
578,1588,510,1408,513
579,1588,509,1408,514
580,1588,511,1408,513
581,1588,510,1408,511
582,1587,510,1408,513
583,1586,511,1407,512
584,1586,511,1406,513
585,1584,511,1405,511
586,1582,509,1403,511
587,1580,509,1401,512
588,1578,511,1399,511
589,1576,509,1396,511
590,1573,509,1394,512
591,1570,509,1390,512
592,1567,509,1388,512
593,1563,509,1383,512
594,1558,511,1379,512
595,1554,509,1375,512
596,1549,511,1370,513
597,1543,511,1364,512
598,1538,512,1359,511
599,1532,511,1352,512
600,1525,510,1346,511
601,1518,510,1338,512
602,1510,510,1331,514
603,1502,513,1322,514
604,1494,511,1314,512
605,1486,511,1306,513
606,1477,513,1298,515
607,1469,512,1290,515
608,1463,511,1282,512
609,1453,511,1273,511
610,1446,511,1265,513
611,1437,512,1257,511
612,1429,512,1249,513
613,1421,512,1240,515
614,1413,512,1233,514
615,1405,511,1225,514
616,1398,512,1217,512
617,1390,513,1210,513
618,1381,513,1201,515
619,1373,512,1193,513
620,1365,513,1185,513
621,1356,512,1177,514
622,1349,513,1169,512
623,1340,512,1160,516
624,1332,512,1151,512
625,1323,511,1143,512
626,1315,510,1134,513
627,1306,513,1125,512
628,1296,511,1116,515
629,1287,511,1107,515
630,1278,513,1097,516
631,1268,513,1088,515
632,1260,512,1079,515
633,1251,515,1070,515
634,1241,514,1061,516
635,1233,514,1052,515
636,1224,513,1044,515
637,1216,514,1035,516
638,1208,513,1027,515
639,1200,514,1019,515
640,1192,512,1011,515
641,1184,513,1003,514
642,1176,514,996,513
643,1168,514,989,514
644,1161,514,981,514
645,1154,514,973,514
646,1147,513,966,514
647,1139,513,959,514
648,1132,513,952,514
649,1126,513,945,514
650,1118,515,937,514
651,1111,513,930,514
652,1104,513,923,514
653,1096,514,915,515
654,1089,514,908,513
655,1081,514,900,513
656,1073,513,892,513
657,1065,513,884,513
658,1057,513,876,514
659,1049,514,868,514
660,1040,514,860,514
661,1032,514,852,513
662,1024,515,843,514
663,1015,513,835,515
664,1007,512,826,513
665,998,511,818,514
666,990,513,810,514
667,982,512,802,514
668,974,513,794,513
669,967,513,786,513
670,958,513,779,514
671,951,512,771,513
672,944,512,764,513
673,937,513,758,513
674,930,512,750,512
675,923,514,742,513
676,917,513,736,512
677,910,512,729,512
678,903,513,723,511
